La Academia fue fundada por "1"
Tesis de "2" dirigida por "1"
Tesis de "3" dirigida por "1"
Tesis de "4" dirigida por "1"
Tesis de "5" dirigida por "1"
Tesis de "6" dirigida por "2"
Tesis de "7" dirigida por "2"
Tesis de "8" dirigida por "2"
Tesis de "9" dirigida por "2"
Tesis de "10" dirigida por "3"
Tesis de "11" dirigida por "3"
Tesis de "12" dirigida por "3"
Tesis de "13" dirigida por "3"
Tesis de "14" dirigida por "4"
Tesis de "15" dirigida por "4"
Tesis de "16" dirigida por "4"
Tesis de "17" dirigida por "4"
Tesis de "18" dirigida por "5"
Tesis de "19" dirigida por "5"
Tesis de "20" dirigida por "5"
Tesis de "21" dirigida por "5"
